ID,Class,Enroll Count,Session,Meeting Days,Meeting Times,Room,Instructor
MEEN5311_001,Convection Heat Transfer II,9,08/19/2024 - 12/13/2024,Monday Wednesday,11:30AM to 12:50PM,NTDP F119,"Prasad,Vish"
MEEN5410_001,Advanced Solid Mechanics,37,08/19/2024 - 12/13/2024,Monday Wednesday,4:00PM to 5:20PM,NTDP B192,"Shen,Mo-how"
MEEN5440_001,Finite Element Analysis,23,08/19/2024 - 12/13/2024,Tuesday Thursday,2:30PM to 3:50PM,NTDP F119,"Yu,Cheng"
MEEN5480_001,Energy Materials,3,08/19/2024 - 12/13/2024,Monday Wednesday,4:00PM to 5:20PM,NTDP F187,"Choi,Wonbong"
MEEN5520_001,Manufacturing Concepts for Mechanical Engineers,10,08/19/2024 - 12/13/2024,Tuesday Thursday,11:30AM to 12:50PM,NTDP F119,"Haridas,Ravi sankar"
MEEN5640_001,Applied Engineering Vibration,14,08/19/2024 - 12/13/2024,Tuesday Thursday,8:30AM to 9:50AM,NTDP D201,"Zhang,Haifeng"
MEEN5740_002,Robotics and Automation,2,08/19/2024 - 12/13/2024,Monday Wednesday,1:00PM to 2:20PM,NTDP F175,"Wasikowski,Mark Edward"
MEEN5800_041,Selected Topics of Contemporary Interest in Mechan,15,08/19/2024 - 12/13/2024,Thursday,5:30PM to 8:20PM,NTDP B142,"Yalamanchili,Rattaya Chowdhury"
MEEN5800_045,Selected Topics of Contemporary Interest in Mechan,2,08/19/2024 - 12/13/2024,Monday Wednesday,4:00PM to 5:20PM,NTDP F119,"John,Kuruvilla"
MEEN5800_050,Selected Topics of Contemporary Interest in Mechan,2,08/19/2024 - 12/13/2024,Tuesday Thursday,2:30PM to 3:50PM,NTDP F175,"Choi,Tae-Youl"
MEEN5940_001,Graduate Seminar in Mechanical and Energy Engineer,16,08/19/2024 - 12/13/2024,Wednesday,1:00PM to 2:00PM,NTDP F116,"Shen,Mo-how"
MTSE1100_004,"Discover How and Why Materials ""Matter""",33,08/19/2024 - 12/13/2024,Monday Wednesday Friday,1:30PM to 2:20PM,NTDP  D207A,"Reidy III,Rick F"
MTSE3000_001,Fundamentals of Materials Science and Engineering,11,08/19/2024 - 12/13/2024,Tuesday Thursday,2:30PM to 3:50PM,NTDP B190,"Young,Marcus Lynn"
